,terms,sentiment,polarity
0,aa,negative,0.38095238095238093
1,aaa,negative,0.4666666666666667
2,aaargh,negative,0.2857142857142857
3,aag,negative,0.05128205128205128
4,aage,positive,1.0
5,aaliyah,positive,0.5833333333333334
6,aames,positive,0.9411764705882353
7,aamir,positive,0.8333333333333334
8,aankhen,positive,0.6363636363636364
9,aapke,negative,0.14285714285714285
10,aardman,positive,0.78125
11,aargh,negative,0.0
12,aaron,positive,0.5251396648044693
13,aatish,positive,1.0
14,ab,positive,0.7857142857142857
15,aback,positive,0.6923076923076923
16,abandon,positive,0.5192307692307693
17,abandoned,negative,0.465324384787472
18,abandoning,positive,0.59375
19,abandonment,positive,0.5714285714285714
20,abandons,positive,0.5319148936170213
21,abba,negative,0.48
22,abbas,positive,0.6521739130434783
23,abbey,positive,0.717948717948718
24,abbie,negative,0.1875
25,abbot,positive,0.8103448275862069
26,abbott,positive,0.6272727272727273
27,abbreviated,negative,0.5
28,abby,positive,0.8235294117647058
29,abc,positive,0.6666666666666666
30,abdalla,positive,1.0
31,abdomen,positive,0.5714285714285714
32,abduct,negative,0.4375
33,abducted,negative,0.30303030303030304
34,abducting,negative,0.5
35,abduction,negative,0.46808510638297873
36,abductions,negative,0.0
37,abductor,negative,0.4
38,abducts,negative,0.5
39,abdul,positive,0.5555555555555556
40,abe,positive,0.660377358490566
41,abel,positive,0.6666666666666666
42,abercrombie,negative,0.14285714285714285
43,aberrant,positive,0.6666666666666666
44,aberration,negative,0.4
45,aberrations,positive,0.5714285714285714
46,abetted,positive,0.7575757575757576
47,abhay,positive,1.0
48,abhi,positive,0.8
49,abhishek,negative,0.20833333333333334
50,abhor,negative,0.4
51,abhorrence,negative,0.0
52,abhorrent,negative,0.2
53,abhors,positive,0.8571428571428571
54,abide,positive,0.6666666666666666
55,abiding,negative,0.45652173913043476
56,abigail,positive,0.6382978723404256
57,abilities,positive,0.5261324041811847
58,ability,negative,0.5004668534080299
59,abit,negative,0.16666666666666666
60,abject,negative,0.2
61,ablaze,negative,0.375
62,able,positive,0.5663545366483694
63,ably,positive,0.7575757575757576
64,abm,negative,0.0
65,abner,negative,0.2
66,abnormal,positive,0.5357142857142857
67,abnormally,negative,0.14285714285714285
68,abo,negative,0.4583333333333333
69,aboard,negative,0.45901639344262296
70,abode,negative,0.5
71,abolished,positive,0.8
72,abolition,positive,1.0
73,abominable,negative,0.18840579710144928
74,abominably,negative,0.42857142857142855
75,abomination,negative,0.09433962264150944
76,abominations,negative,0.07142857142857142
77,aboriginal,positive,0.6785714285714286
78,aboriginals,negative,0.5
79,aborigine,positive,0.8571428571428571
80,aborigines,positive,0.9285714285714286
81,abort,negative,0.5
82,aborted,negative,0.4418604651162791
83,abortion,negative,0.32786885245901637
84,abortions,negative,0.19047619047619047
85,abortive,negative,0.375
86,aborts,negative,0.3333333333333333
87,abound,negative,0.4166666666666667
88,abounds,negative,0.39285714285714285
89,abraham,positive,0.6172839506172839
90,abrahams,positive,0.7142857142857143
91,abrams,positive,0.75
92,abrasive,negative,0.39473684210526316
93,abre,positive,0.5555555555555556
94,abreast,negative,0.3333333333333333
95,abridged,positive,0.5263157894736842
96,abril,positive,1.0
97,abroad,positive,0.5510204081632653
98,abrupt,positive,0.5209580838323353
99,abruptly,negative,0.42028985507246375
100,abruptness,positive,0.8
101,abs,negative,0.16666666666666666
102,absconded,positive,0.8
103,absence,negative,0.5097276264591439
104,absent,negative,0.4097560975609756
105,absentee,negative,0.45454545454545453
106,absolute,negative,0.4482758620689655
107,absolutely,negative,0.43573228787454493
108,absolution,negative,0.5
109,absolutley,negative,0.0
110,absolutly,positive,0.6363636363636364
111,absolve,negative,0.2
112,absorb,positive,0.6666666666666666
113,absorbed,positive,0.5324675324675324
114,absorbing,positive,0.819672131147541
115,absorbs,positive,0.9285714285714286
116,absorption,positive,0.5882352941176471
117,abstinence,negative,0.5
118,abstract,positive,0.6160714285714286
119,abstracted,positive,1.0
120,abstraction,positive,0.7777777777777778
121,abstractions,positive,0.7
122,absurd,negative,0.28183118741058655
123,absurdism,positive,0.8181818181818182
124,absurdist,positive,0.6976744186046512
125,absurdities,negative,0.3333333333333333
126,absurdity,positive,0.5146198830409356
127,absurdly,negative,0.38596491228070173
128,absurdness,negative,0.3333333333333333
129,abu,positive,0.9178082191780822
130,abundance,positive,0.5445544554455446
131,abundant,negative,0.3888888888888889
132,abundantly,negative,0.47058823529411764
133,abuse,negative,0.5
134,abused,negative,0.5
135,abuser,positive,0.6428571428571429
136,abusers,positive,0.8333333333333334
137,abuses,positive,0.7096774193548387
138,abusing,positive,0.5555555555555556
139,abusive,positive,0.5614973262032086
140,abut,negative,0.2857142857142857
141,abuzz,positive,1.0
142,abydos,positive,1.0
143,abysmal,negative,0.11946902654867257
144,abysmally,negative,0.0967741935483871
145,abyss,negative,0.43103448275862066
146,ac,positive,0.6
147,acacia,negative,0.0
148,academia,negative,0.4
149,academic,negative,0.345679012345679
150,academics,negative,0.375
151,academy,positive,0.6613603473227206
152,acapulco,positive,0.8571428571428571
153,accelerate,negative,0.36363636363636365
154,accelerated,positive,0.6666666666666666
155,accelerates,negative,0.25
156,accelerating,negative,0.4444444444444444
157,acceleration,negative,0.2
158,accelerator,negative,0.4
159,accent,negative,0.36168384879725085
160,accented,negative,0.41304347826086957
161,accents,negative,0.3162217659137577
162,accentuate,positive,0.64
163,accentuated,positive,0.7916666666666666
164,accentuates,positive,0.9
165,accentuating,negative,0.375
166,accept,positive,0.5862533692722371
167,acceptable,negative,0.4090909090909091
168,acceptably,negative,0.5
169,acceptance,positive,0.703030303030303
170,accepted,positive,0.5511811023622047
171,accepting,positive,0.6474820143884892
172,accepts,positive,0.6329113924050633
173,access,negative,0.43414634146341463
174,accessibility,positive,0.5454545454545454
175,accessible,positive,0.8294573643410853
176,accessories,positive,0.7142857142857143
177,accessory,positive,1.0
178,accident,positive,0.5356200527704486
179,accidental,positive,0.62
180,accidentally,negative,0.4690082644628099
181,accidently,positive,0.6428571428571429
182,accidents,negative,0.45454545454545453
183,acclaim,positive,0.5116279069767442
184,acclaimed,positive,0.632768361581921
185,accolade,positive,0.7272727272727273
186,accolades,positive,0.675
187,accommodate,positive,0.6153846153846154
188,accommodating,negative,0.42857142857142855
189,accommodation,negative,0.5
190,accommodations,negative,0.3333333333333333
191,accompanied,positive,0.5732758620689655
192,accompanies,positive,0.5344827586206896
193,accompaniment,positive,0.6923076923076923
194,accompanist,positive,0.75
195,accompany,positive,0.7325581395348837
